STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
31,     NKA-MF-002,1,4,8,00000,0,00,045,00000,'Mirage Flats Canal',,'Lembke Rd','25.8 mi S-SE of Chadron',99.99,3.62,0,,0,42280388,102521956,17,3,25,69,09,1945,2,0,5,2014,1,3.7,0,20,0,0,0,0,0,5,0,0,0,P,1,5,1,01,0,00,2,0,4.3,5.2,11.1,0,0,4.3,4.9,99.99,N,0,N,0,0,5,6,5,5,N,8,6.8,8,5.2,3,N,N,0,9,5,,,0,424,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,3,,0,0,0,1,0,0,0,,0,,Y,2,8,2046,,Y,69,F,5,54.39
31,     NKA-MF-010,1,8,8,00470,0,00,161,00000,'Mirage Flats Canal',,'470th Lane','11.7 mi SSE of HaySprings',99.99,22.043,0,,0,42305989,102440103,1,3,25,69,09,1945,1,0,5,2014,1,4.9,0,0,0,0,0,0,0,5,0,0,0,P,1,5,1,01,0,00,1,0,4.9,7.1,7.7,0,0,4.3,4.9,99.99,N,0,N,0,0,7,6,7,7,N,8,12.6,8,9.7,3,6,N,0,9,8,,,0,424,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,3,,0,0,0,1,0,0,0,,0,,Y,5,10,2046,,Y,69,F,6,37.73
31,     NKA-RW-002,1,4,8,00000,0,00,145,00000,'Red Willow Canal',,'County Road 720','7.2 mi NE of McCook',99.99,0,0,,0,40154799,100305886,320,3,25,69,09,1955,2,0,5,2014,2,6.1,0,31,0,0,0,0,0,5,0,0,0,A,1,5,7,02,0,00,2,0,6.1,6.9,14,0.2,0.2,5.8,6.1,99.99,N,0,N,0,0,6,6,5,5,N,7,35.6,7,25.6,5,4,N,5,9,8,,,0,424,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,8,0,0,0,,0,,Y,5,6,2046,,Y,69,F,5,85.4
31,     NKA-RW-007,1,8,8,00000,0,00,145,00000,'Red Willow Canal',,'Field Access','300 feet off of Highway 6',99.99,0,0,,0,40140248,100265876,320,3,25,69,09,1970,1,0,5,2024,0,4.7,0,0,0,0,0,0,0,5,0,0,0,A,1,5,7,02,0,00,1,0,4.7,7.2,7.7,0,0,4.7,5,99.99,N,0,N,0,0,7,5,5,6,N,5,,5,,*,7,N,5,9,8,,,0,424,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,3,,0,0,0,8,0,0,0,,0,,Y,6,5,2044,,Y,69,F,5,38.5
31,    NKA-FCD-001,1,4,1,00728,0,00,063,00000,'Medicine Creek Spillway',,'County Road 728','7.2 MI NW of Cambridge',99.99,0,0,,0,40224615,100125129,17,3,69,69,08,1949,2,0,170,2014,4,7.3,0,0,0,1,1,1,1,5,0,0,0,P,1,5,1,04,0,00,5,0,7.3,15.8,71.6,0,0,7.3,8.5,99.99,N,0,N,0,0,7,7,5,8,N,6,29.2,6,17.5,5,5,N,4,9,6,,,0,424,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,8,190,2040,,Y,69,F,5,608.6
31,    NKA-FCD-002,1,4,4,0044B,0,00,087,00000,'Trenton Dam Spillway',,'County Road 44B','2.7 mi W of Trenton',99.99,0,0,,0,40101917,101034891,16,3,69,69,09,1953,2,0,293,2014,5,7.9,0,0,0,1,1,1,1,3,0,0,0,P,1,5,1,04,1,04,3,14,7.3,13.4,133.8,0,0,7.3,7.9,99.99,N,0,N,0,0,6,6,6,8,N,1,34.2,1,20.7,6,5,N,4,9,4,,,0,524,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,8,320,2040,,Y,69,F,6,1057.02
31,    NKA-FCD-003,1,3,1,00061,0,00,029,00000,'Enders Dam Spillway',,'STATE HIGHWAY 61','2.6 mi S-SE of Enders',99.99,0,0,,0,40250957,101310329,3,3,69,69,02,1948,2,0,150,2014,5,7.9,0,0,0,0,1,1,1,3,0,0,0,P,1,5,1,04,0,00,7,0,7.3,15.6,113.1,0.3,0.3,7.3,7.9,99.99,N,0,N,0,0,7,7,7,8,N,8,23.3,8,18.1,5,5,N,4,9,8,,,0,524,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,8,160,2040,,Y,69,G,7,893.49
31,    NKA-GER-011,1,8,8,00000,0,00,175,00000,'Geranium Canal',,'Private Rd','10.6 miles W of Ord  NE',99.99,0,0,,0,41344178,099080358,320,3,25,69,09,1970,1,0,5,2024,0,4.9,0,0,0,0,0,0,0,5,0,0,0,A,1,5,5,04,0,00,1,0,4.9,14,15.2,0,0,4.9,5.5,99.99,N,0,N,0,0,7,7,7,6,N,5,,5,,*,3,N,5,9,8,,,0,424,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,3,,0,0,0,2,0,0,0,,0,,Y,6,5,2044,,Y,69,G,7,83.6
31,    NKA-MIR-001,1,4,1,00828,0,00,071,00000,'Mirdan Canal',,'Hatchery Road','5 mi NW of Burwell',99.99,0,0,,0,41492776,099124490,320,3,25,69,09,1991,2,0,6,2014,5,8.5,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,03,0,00,1,0,8.5,19.2,19.6,0,0,8.5,9.4,99.99,N,0,N,0,0,7,8,7,8,N,A,99.9,A,99.9,7,7,N,5,9,7,,,0,424,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,N,N,N,,0,,Y,8,10,2046,,Y,69,G,7,184.24
31,   NKA-AINS-023,1,4,8,00880,0,00,017,00000,'Ainsworth Canal Lateral',,'880th Rd','2.9 mi NE of Johnstown',99.99,0,0,,0,42344276,100001042,320,3,25,69,09,1963,2,0,5,2010,2,7,0,0,0,0,0,0,0,5,0,0,0,P,1,5,7,02,0,00,2,0,7.1,5.3,10.7,0.1,0.1,7.1,7.4,99.99,N,0,N,0,0,6,7,6,7,N,7,25.9,7,17.5,5,5,N,1,9,7,,,0,424,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,8,0,0,0,,0,,Y,4,6,2044,,Y,69,F,6,79.18
31,   NKA-CAMB-001,1,8,0,00000,0,00,065,00000,'Cambridge Canal',,'Field Access','2.5 mi E of Cambridge',99.99,0,0,,0,40171337,100070123,1,3,25,69,09,1947,2,0,5,2014,0,6.1,0,0,0,0,0,0,0,5,0,0,0,A,1,5,4,02,0,00,2,0,6.1,9,18.1,0,0,6.1,6.1,99.99,N,0,N,0,0,6,5,5,7,N,6,36.3,6,21.7,5,5,N,5,9,3,,,0,424,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,4,5,2040,,Y,69,F,5,110.41
31,   NKA-CAMB-004,1,8,8,00000,0,00,065,00000,'Cambridge Canal',,'Rd 415','5.6 mi E NE of Cambridge',99.99,0,0,,0,40180684,100034457,3,3,21,69,09,1963,2,0,3,2014,0,7.2,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,7.2,9.7,10.3,0,0,7.2,7.2,99.99,N,0,N,0,0,6,4,4,5,N,6,32.1,6,19.1,4,5,N,4,9,6,,,0,424,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,2,3,2040,,Y,69,P,4,74.16
31,   NKA-CAMB-010,1,4,8,00000,0,00,065,00000,'Cambridge Canal',,'Rd 418','0.7 mi N of Holbrook  NE',99.99,0,0,,0,40185722,100001977,3,3,25,69,09,1970,2,0,20,2024,0,8.5,0,0,0,0,0,0,0,5,0,0,0,A,1,5,5,04,0,00,1,0,8.5,9.7,10.1,0,0,8.5,9.1,99.99,N,0,N,0,0,6,6,7,7,N,5,,5,,*,7,N,5,9,8,,,0,424,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,2,0,0,0,,0,,Y,6,40,2046,,Y,69,F,6,91.91
31,   NKA-CULB-006,1,4,1,00000,0,00,087,00000,'Culbertson Canal',,'E. County Road Ave','1.8 mi E of Palisade',99.99,0,0,,0,40210261,101042642,8,3,25,69,09,1957,2,0,25,2014,0,7.6,0,44,0,N,N,N,N,5,0,0,0,A,1,5,2,19,0,00,2,0,7.6,3.2,8.7,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,6,0,32.4,0,23.4,6,N,N,5,9,6,,,0,424,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,1980,N,N,N,N,,0,,Y,5,30,2040,,Y,69,F,6,66.12
31,   NKA-CULB-007,1,4,1,00725,0,00,087,00000,'Culbertson Canal',,'County Road 725','2.6 mi E of Palisade',99.99,0,0,,0,40202669,101033582,5,3,25,69,09,1957,2,0,20,2014,0,7.6,0,20,0,N,N,N,N,5,0,0,0,A,1,5,2,19,0,00,2,0,7.6,3.2,6.7,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,7,0,32.4,0,23.4,6,N,N,5,9,8,,,0,424,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,1980,N,N,N,N,,0,,Y,5,25,2040,,Y,69,G,7,50.92
31,   NKA-CULB-010,1,4,1,00000,0,00,087,00000,'Culbertson Canal',,'County Road 363','3.7 mi SE of Palisade',99.99,0,0,,0,40195875,101022889,13,3,02,69,09,1957,2,0,20,2014,0,7.6,0,14,0,N,N,N,N,5,0,0,0,A,1,5,2,19,0,00,2,0,7.6,3.2,6.4,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,7,0,32.4,0,23.4,6,N,N,5,9,8,,,0,424,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,1980,N,N,N,N,,0,,Y,5,25,2040,,Y,69,G,7,48.64
31,   NKA-CULB-018,1,4,1,00367,0,00,087,00000,'Culbertson Canal',,'County Road 367','8.3 mi NW of Culbertson',99.99,0,0,,0,40174035,100575960,11,3,02,69,09,1958,2,0,20,2014,0,4.9,0,24,0,N,N,N,N,5,0,0,0,A,1,5,2,19,0,00,2,0,11,3.2,6.9,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,7,0,32.4,0,23.4,6,N,N,5,9,8,,,0,424,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,1996,N,N,N,N,,0,,Y,5,22,2040,,Y,69,G,7,33.81
