"structure_number","county","facility_carried","location","year_built","bridge_age","deck_rating","superstructure_rating","substructure_rating","lowest_rating","bridge_condition","daily_traffic","percent_truck_traffic","poor_condition"
"C002800205P    ",55,"'COUNTRY ROAD'","'.3M W OF 276TH STREET'",1927,99,"5","6","6",5,"F",81,10,FALSE
"C002800403     ",55,"'PAWNEE ROAD'","'1S 2.5W N133/WASHGTON CL'",1992,34,"N","N","N",5,"F",116,0,FALSE
"C002800405     ",55,"'PAWNEE ROAD'","'JCT N36/N133 1N .8E'",2010,16,"7","8","7",7,"G",85,0,FALSE
"C002800410     ",55,"'PAWNEE ROAD'","'JCT N36/N133 1N 1E'",2020,6,"7","7","8",7,"G",57,0,FALSE
"C002800420P    ",55,"'PONCA RD/COLL 7949'","'42ND & PONCA ROAD'",1985,41,"5","5","7",5,"F",350,0,FALSE
"C002800605     ",55,"'288TH ST'","'1W 3N VALLEY'",2022,4,"8","8","8",8,"G",100,10,FALSE
"C002800610     ",55,"'BENNINGTON ROAD'","'3N 2E OF VALLEY'",1992,34,"6","6","7",6,"F",62,0,FALSE
"C002800805     ",55,"'RINGWOOD ROAD'","'2NE OF VALLEY'",2010,16,"7","7","8",7,"G",200,10,FALSE
"C002800810     ",55,"'RAINWOOD ROAD'","'2N 2.5E OF VALLEY'",1958,68,"6","4","4",4,"P",91,0,TRUE
"C002801005     ",55,"'STATE STREET'","'1N 1.5E OF VALLEY'",2019,7,"N","N","N",8,"G",25,0,FALSE
"C002801010     ",55,"'STATE STREET'","'1N 1.7E OF VALLEY'",2024,2,"8","8","8",8,"G",46,0,FALSE
"C002801105     ",55,"'BENNINGTON RD'","'3N .5W OF VALLEY'",2022,4,"8","8","8",8,"G",238,10,FALSE
"C002801105P    ",55,"'282ND STREET'","'4.7N OF VALLEY'",1930,96,"6","6","6",6,"F",81,0,FALSE
"C002801205P    ",55,"'GINGER COVE ROAD'","'JCT US275/N64 2W .5S'",1971,55,"5","4","6",4,"P",50,0,TRUE
"C002801403P    ",55,"'OLD MAPLE ROAD'","'JCT US275/N64 .75E'",1989,37,"N","N","N",7,"G",5,0,FALSE
"C002801505     ",55,"'264TH ST'","'WJCT US275/N92 2W 1S'",1983,43,"7","8","7",7,"G",1300,0,FALSE
"C002801510     ",55,"'264TH STREET'","'2N 1E OF VALLEY'",2020,6,"8","8","8",8,"G",103,0,FALSE
"C002801515     ",55,"'264TH ST'","'3.5N 1E OF VALLEY'",2020,6,"N","N","N",8,"G",78,0,FALSE
"C002801520     ",55,"'264TH ST'","'4N 1E OF VALLEY'",2023,3,"8","8","8",8,"G",105,0,FALSE
"C002801525     ",55,"'264TH STREET'","'5N 1E OF VALLEY'",2018,8,"7","8","8",7,"G",77,0,FALSE
"C002801605     ",55,"'WEST MAPLE ROAD'","'1SW OF VALLEY'",2011,15,"N","N","N",7,"G",197,10,FALSE
"C002801610     ",55,"'WEST MAPLE ROAD'","'1SW VALLEY'",1985,41,"N","N","N",5,"F",197,10,FALSE
"C002801615     ",55,"'WEST MAPLE ROAD'","'1SW VALLEY'",1985,41,"N","N","N",5,"F",197,10,FALSE
"C002801705     ",55,"'252ND STREET'","'5.5S 1W OF WATERLOO'",1991,35,"7","7","7",7,"G",106,0,FALSE
"C002801710     ",55,"'252ND STREET'","'1W OF WATERLOO'",2018,8,"N","N","N",8,"G",163,0,FALSE
"C002801715     ",55,"'252ND ST;COLL 7947'","'1W 1N OF WATERLOO'",1926,100,"5","4","4",4,"P",609,0,TRUE
"C002801720     ",55,"'252ND RD'","'1.2W 2.2N OF WATERLOO'",2020,6,"N","N","N",8,"G",1055,0,FALSE
"C002801725     ",55,"'COLL 7947/252ND'","'1W 3N OF WATERLOO'",1994,32,"7","7","6",6,"F",1093,0,FALSE
"C002801730     ",55,"'COLL 7947'","'2E 2.7N OF VALLEY'",1975,51,"7","6","6",6,"F",986,0,FALSE
"C002801735     ",55,"'252ND STREET'","'4.5N 2E OF VALLEY'",1932,94,"5","4","4",4,"P",47,0,TRUE
"C002801805     ",55,"'BLONDO STREET'","'.5S OF WATERLOO'",2002,24,"N","N","N",7,"G",107,10,FALSE
"C002801905     ",55,"'240TH STREET'","'4S OF WATERLOO'",1987,39,"6","6","8",6,"F",101,0,FALSE
"C002802005     ",55,"'WEST DODGE RD'","'1.5S 1W WATERLOO'",1990,36,"N","N","N",7,"G",1030,0,FALSE
"C002802205     ",55,"'PACIFIC STREET'","'2.5S 3W OF WATERLOO'",1987,39,"N","N","N",6,"F",213,10,FALSE
"C002802210     ",55,"'PACIFIC STREET'","'252ND ST AND PACIFIC'",1990,36,"N","N","N",7,"G",480,25,FALSE
"C002802460P    ",55,"'WEIR STREET'","'.1E OF 197TH ON WEIR ST'",2005,21,"N","N","N",7,"G",500,10,FALSE
"C002802470P    ",55,"'ORCHARD AVE'","'.02E OF 196TH ON ORCHARD'",2005,21,"N","N","N",5,"F",500,10,FALSE
"C002802480P    ",55,"'L STREET'","'.1E OF 194 AVE ON L ST'",2004,22,"N","N","N",5,"F",500,10,FALSE
"C002802490P    ",55,"'L STREET'","'.1 E OF 194TH AVE ON L ST'",2004,22,"N","N","N",6,"F",500,10,FALSE
"C002802495P    ",55,"'G STREET'","'200 E OF 200TH ST & G ST'",2005,21,"N","N","N",7,"G",100,1,FALSE
"C002802505P    ",55,"'GROVER STREET'","'.25 W OF 192ND STREET'",2004,22,"N","N","N",7,"G",500,10,FALSE
"C002802705P    ",55,"'186TH STREET'","'.5S 186TH & STATE ST'",1983,43,"7","7","6",6,"F",173,0,FALSE
"C002802710P    ",55,"'186TH STREET'","'.3S 186TH &AMP; RAINWOOD'",2008,18,"7","7","6",6,"F",700,0,FALSE
"C002802805     ",55,"'Q ST/FAS 3795'","'WJCT US275/N92 2S .7W'",2015,11,"7","8","6",6,"F",1470,5,FALSE
"C002802810     ",55,"'Q ST/FAS 3795'","'WJCT US275/N92 2S .2W'",1964,62,"4","6","5",4,"P",1165,0,TRUE
"C002802850P    ",55,"'BURKE ST.'","'450 W OF 180TH & BURKE'",2005,21,"N","N","N",7,"G",200,5,FALSE
"C002802903P    ",55,"'G STREET'","'200 W OF 178TH ST'",1999,27,"N","N","N",7,"G",50,0,FALSE
"C002802905P    ",55,"'OLD LINCOLN HWY'","'.3N 174TH & US6'",1985,41,"N","N","N",7,"G",1046,10,FALSE
"C002803105     ",55,"'168TH ST/FAS 3811'","'.3N 168TH &AMP; HARRISON'",1989,37,"N","N","N",6,"F",11800,0,FALSE
"C002805104P    ",55,"'CALHOUN RD/COL7965'","'NR CALHOUN RD & PONC RD'",1984,42,"6","5","4",4,"P",1094,0,TRUE
"C002810205     ",55,"'DUTCH HALL ROAD'","'7W N31 DODGE CL'",2016,10,"N","N","N",8,"G",263,0,FALSE
"C002810210     ",55,"'DUTCH HALL ROAD'","'5W OF N31/DODGE CNTY LINE'",2020,6,"8","8","8",8,"G",105,0,FALSE
"C002810405P    ",55,"'ELK CITY DRIVE'","'.5W ELK CITY'",1920,106,"6","5","6",5,"F",26,10,FALSE
"C002810615     ",55,"'BENNINGTON ROAD'","'.3W OF BENNINGTON'",1985,41,"5","5","6",5,"F",1220,10,FALSE
"C002811205     ",55,"'IDA STREET'","'177TH & IDA ST'",2017,9,"7","7","8",7,"G",545,10,FALSE
"C002811210     ",55,"'IDA STREET'","'IDA @ 156TH STREET'",2000,26,"N","N","N",6,"F",1437,0,FALSE
"C002811305     ",55,"'276TH ST'","'JCT US275/N64 .3E 2.9N'",1977,49,"N","N","N",7,"G",605,0,FALSE
"C002811308     ",55,"'276TH ST'","'4N OF VALLEY'",1970,56,"N","N","N",7,"G",61,0,FALSE
"C002811310     ",55,"'276TH STREET'","'4N OF VALLEY'",1927,99,"6","6","6",6,"F",61,0,FALSE
"C002811805P    ",55,"'OLD LINCOLN HWY'","'1.7E OF ELKHORN'",1996,30,"7","7","6",6,"F",653,10,FALSE
"C002812105     ",55,"'228TH ST/COLL 7941'","'.5E 1.2N OF WATERLOO'",2012,14,"N","N","N",6,"F",904,0,FALSE
"C002812303     ",55,"'216TH ST'","'JCT N64/N31 1N 1W'",1993,33,"N","N","N",5,"F",725,10,FALSE
"C002812305     ",55,"'216TH ST'","'.3N 216TH & N36'",1989,37,"N","N","N",6,"F",1586,90,FALSE
"C002812605     ",55,"'F ST/COUNTY RD 49'","'4.5S .5W OF WATERLOO'",1932,94,"6","7","7",6,"F",67,10,FALSE
"C002812610     ",55,"'F ST; COUNTY RD 49'","'4.5S .2W OF WATERLOO'",1932,94,"6","6","6",6,"F",67,10,FALSE
"C002812901P    ",55,"'179TH STREET'","'179TH & CHICAGO'",2005,21,"N","N","N",7,"G",10,0,FALSE
"C002812903P    ",55,"'BURT STREET'","'BURT ST WEST OF 174 ST.'",2001,25,"N","N","N",6,"F",5,0,FALSE
"C002812905     ",55,"'180TH ST'","'.18S OF US6 & 180TH ST'",1997,29,"N","N","N",6,"F",11900,10,FALSE
"C002812907L    ",55,"'180TH ST'","'_'",2021,5,"7","8","7",7,"G",894,0,FALSE
"C002812907R    ",55,"'180TH ST'","'_'",2021,5,"7","8","8",7,"G",500,7,FALSE
"C002812910     ",55,"'180TH ST'","'.3S 180TH & N64'",2022,4,"8","8","8",8,"G",894,0,FALSE
"C002813115P    ",55,"'159TH ST'","'159TH @ IDA ST'",2000,26,"6","6","7",6,"F",25,0,FALSE
"C002813140     ",55,"'168TH STREET'","'1NW OF BENNINGTON'",1987,39,"6","6","7",6,"F",442,10,FALSE
"C002813145     ",55,"'168TH STREET'","'1W 2N OF BENNINGTON'",1999,27,"7","7","8",7,"G",151,10,FALSE
"C002813307P    ",55,"'148TH ST.'","'.1MI E OF NEBRASKA AVE'",2003,23,"N","N","N",6,"F",3960,0,FALSE
"C002813310     ",55,"'156TH STREET'","'410 NORTH OF IDA ST.'",2006,20,"N","N","N",6,"F",5425,0,FALSE
"C002813311P    ",55,"'SHEFFIELD DR.'","'.04 E OF 155TH ST.'",2003,23,"N","N","N",7,"G",3960,0,FALSE
"C002813313P    ",55,"'REYNOLDS STREET'","'EAST OF N155TH'",2003,23,"N","N","N",7,"G",3960,0,FALSE
"C002813315     ",55,"'156TH ST/FAS 3805'","'JCT N36/S-28F 2.7S'",1998,28,"N","N","N",6,"F",5425,0,FALSE
"C002813320     ",55,"'156TH ST/FAS 3805'","'JCT N36/S-28F .7S'",2000,26,"6","8","8",6,"F",4815,0,FALSE
"C002813715P    ",55,"'126TH ST'","'126TH & MILITARY AVE'",1985,41,"6","5","5",5,"F",500,10,FALSE
"C002813720P    ",55,"'READ STREET'","'.15 W OF N122ND ON READ'",2002,24,"N","N","N",7,"G",500,10,FALSE
